record_id,sentence_text,country_source,source_role,source_line,source_document_id,source_sentence_id,source_split,derived_split,annotator1_raw,annotator2_raw,reconciliation_raw,recorded_label,label_path
train-0025,Molim da se dizanjem ruke izjasnimo tko je za predloženu odluku?,HR,train_file,25,6710,1435,train,ucenje,P_Neutral,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0028,Sudeći prema nominalnoj vrijednosti ne radi se baš o maloj vrijednosti.,HR,train_file,28,59312,337,train,ucenje,N_Neutral,Negative,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0031,Klub SDP-a podržava izmjene i dopune Zakona o izvršavanju kazne zatvora.,HR,train_file,31,62038,2110,train,ucenje,Positive,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0032,"Bilo bi čak i za otplatu duga umirovljenicima, a drugi je način davanja u zakup.",HR,train_file,32,24499,300,train,provjera,P_Neutral,M_Positive,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0034,A neću niti govoriti da su kriteriji za izbor ovih kandidata jedna misaona imenica da zaista nemamo pojma po kojim kriterijima su birani članovi ovog Upravnog vijeća.,HR,train_file,34,84308,380,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0035,"To je evo i ova vlada komunicira, jednostavno, puno ima grešaka koje sad plaćamo.",HR,train_file,35,102178,2551,train,provjera,Negative,M_Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0036,Dobili smo 15.siječnja 2004. prijedlog zakona sa konačnim prijedlogom koji je imao u biti jedan članak ili članak drugi govori kada stupa na snagu.,HR,train_file,36,2463,265,train,ucenje,P_Neutral,N_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0037,"Osnovni cilj je naravno brži razvoj tih područja, povećanje kvalitete života stanovništva, kako bi se potaknula demografska obnova u tim krajevima, a njihovo gospodarstvo ujednačilo sa razinom ostalih dijelova Hrvatske.",HR,train_file,37,12741,1898,train,ucenje,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0039,Tu se radi po našoj procjeni o najoštećenijoj kategoriji stanovništva i imamo utisak da oni imaju tretman gotovo isti kao što imaju tretman i naseljenici.,HR,train_file,39,73251,2184,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0041,"Drugo, naveli ste da u međimurju ima deklariranih 11000 roma, u međuvremenu ste rekli da je osnovnoškolsko obrazovanje 11400.",HR,train_file,41,87617,620,train,ucenje,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0042,Oni više nisu ni hrvatska ni demokratska nego su samo zajednica koja glumi nekakvo lažno domoljublje kako bi dopustila daljnju pljačku i devastaciju hrvatskih građana a osobito onih najugroženijih a to su umirovljenici.,HR,train_file,42,110827,790,train,provjera,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0043,"Znači to je pitanje, to je pitanje vaše percepcije onoga što ste pročitali.",HR,train_file,43,60364,1338,train,ucenje,N_Neutral,M_Negative,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0047,I znamo svi da se vara i država i da se vara radnik time itd.,HR,train_file,47,71943,494,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0049,"Pa ne želeći komentirati način na koji je bio sad prezentiran, to moram samo reći nešto.",HR,train_file,49,82822,1421,train,ucenje,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0053,"To je primarni interes po mom sudu uz interes za neke globalne, uređivačku, za globalnu uređivačku orijentaciju ili koncepciju koja je ovdje u nadležnosti gospodina Ljevaka i Programskoga vijeća.",HR,train_file,53,52853,1705,train,ucenje,P_Neutral,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0055,Ja vam se zahvaljujem što ste imali upornosti ostati petkom popodne da tako kažem i da ovu raspravu koju smo ipak vodili u dobrom dijelu konstruktivno možemo prenijeti i na neka buduća postupanja.,HR,train_file,55,59868,2069,train,ucenje,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0057,"Oružje, znači jedan nož može služiti za rezanje rajčice, a može služiti i za hladnokrvno ubojstvo.",HR,train_file,57,26464,700,train,ucenje,N_Neutral,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0059,Nemojmo samo od njih tražiti da to postignu ako mi ne pokušamo to postići i ovdje u Hrvatskom saboru.,HR,train_file,59,116712,1889,train,ucenje,M_Negative,M_Positive,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0060,"Jer smo pustili korona virus u 8 domova koliko ja imam evidenciju, u 8 domova.",HR,train_file,60,199732,1591,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0061,Uvjeren sam da će već naredno izvješće potvrditi da je došlo do poboljšanja u njihovom radu kao i radu tijela koja dodjeljuju proračunska sredstva i kontroliraju njihovo namjensko trošenje.,HR,train_file,61,2820,2334,train,ucenje,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0062,"Kolega Marelić ne sumnjam da je ovaj zakon nekima donio dobro i ne sumnjam da oni hvale ovaj zakon i to je logično ali oni gledaju usko i kratkovidno, ne gledaju širinu.",HR,train_file,62,61855,583,train,ucenje,M_Negative,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0063,"Sljedeće, postojeći poticaj za prodaju domaće teladi za tov u iznosu od 600 kuna usmjerava se za povećanje iznosa poticaja za tov junadi domaćeg podrijetla koji sada ukupno iznosi 1.800,00 kuna.",HR,train_file,63,71020,2002,train,provjera,P_Neutral,Positive,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0064,"Znači imamo nagli skok starosnih mirovina od 97.-99.i to za 40 tisuća, obično je to slijed od 5-10 tisuća.",HR,train_file,64,70218,2422,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0065,"Prelama se preko potrošača, a ne može im osigurati kvalitetnu i dostupnu opskrbu plinom.",HR,train_file,65,25290,48,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0066,"Mislim da je strateški plan ove Vlade, a što je premijer u prvim danima prepoznao i glasno izgovorio da među nasušnim brojnim potrebama u sustavu zdravstvu prominira dječja bolnica u Zagrebu.",HR,train_file,66,25627,1431,train,provjera,M_Negative,M_Positive,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0069,I zato klub SDP-a će i dalje energično koliko to možemo i SDP Hrvatske raditi na približavanju Hrvatske Europi.,HR,train_file,69,4308,396,train,provjera,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0070,"A dogodilo se ono na što mi u HSS-u upozoravamo od početka izbijanja afere Agrokor, dogodila se neviđena pljačka pod pokroviteljstvom i uz znanje najvišeg vrha državnog odnosno Vlade RH, samog premijera.",HR,train_file,70,77921,757,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0077,Tko će i kako plaćati štete koje se i sada ne plaćaju?,HR,train_file,77,101073,101,train,provjera,Negative,N_Neutral,Negative,Negative,dva_kodera_i_uskladjenje
train-0081,"Ali da, neka postoje, ali ovo je ipak pad, financijski pad.",HR,train_file,81,55533,472,train,ucenje,Negative,M_Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0083,Imali smo pad društvenog proizvoda a mi ćemo slijedeće godine građanima uzeti više i to još uredno potrošiti.,HR,train_file,83,43235,451,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0085,Međutim problem je kod ove vlasti što recimo ministar financija ne želi priznati svoju grešku nego uvijek na jedan osebujan način pronalazi greške u nekim drugim vladama.,HR,train_file,85,59382,579,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0089,"Znači, sumnja se na firmu koja masovno dobija poslove mimo natječaja kao kooperant i koja obavlja najzahtjevnije, a time i najskuplje radove, a da za njih često referenci nema.",HR,train_file,89,94651,389,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0090,"I prema tome ono što treba jasno na kraju, s tim ću završiti, reći Hrvatska demokratska zajednica podržava ovu inicijativu hrvatskih branitelja.",HR,train_file,90,76497,505,train,ucenje,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0091,"4, 4,5 sata Ljubljana, a zamislite vlak da ne govorimo o unskoj pruzi o kojoj nema pojma nitko.",HR,train_file,91,115984,656,train,ucenje,P_Neutral,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0093,Ustava RH koji kaže da smo svi pred zakonom jednaki i ako se u ovom obliku izglasa u Hrvatskom saboru svaka nova ustavna tužba će ga srušiti na Ustavnom sudu.,HR,train_file,93,40625,550,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0094,"Ukupni fiskalni kapaciteti svih 26 općina oba grada i županije u protekloj godini iznosili su uz dotaciju, izdašnu dotaciju države oko 400 milijuna kuna.",HR,train_file,94,26083,1912,train,ucenje,P_Neutral,N_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0104,Sutra ga hoćeš nećeš moramo izglasati u Saboru kako znamo i umijemo jer se Ministarstvo zaštite okoliša i prirode posljednjih godinu dana češljalo dok je kuća gorjela.,HR,train_file,104,44683,2533,train,ucenje,Negative,M_Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0106,"Ovo podizanje, predloženo podizanje PDV-a za ugostiteljstvo moramo si postaviti temeljno pitanje da li hrvatski turizam stavlja u podređeni položaj ili u povoljniji položaj?",HR,train_file,106,9651,2435,train,ucenje,N_Neutral,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0107,Moramo više stvarati i moramo manje gubiti kroz korupcijske kanale i korupcijske skandale.,HR,train_file,107,53633,468,train,provjera,M_Negative,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0108,"E, ono što je posebno vesela priča u Hrvatskoj, a to je eksploatacija šljunka.",HR,train_file,108,38394,2329,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0110,"I ta činjenica je bila jedna od onih koje i sami neki istaknuti pripadnici HOS-a posljednjih dana, nedvosmisleno karakteriziraju kao provokaciju.",HR,train_file,110,48092,2045,train,provjera,Negative,M_Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0117,Vi ne doprinosite nikakvoj efikasnosti u smislu davanja otkaza neradniku.,HR,train_file,117,41923,1378,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0119,"U tom dijelu on će biti organizator, onaj koji podupire proizvodnju na svojem prostoru i području.",HR,train_file,119,15402,2284,train,ucenje,P_Neutral,Positive,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0120,Ma koji bi se bedak išao zadužiti na tekući račun i plaćati kamatnu stopu 15 do 16%?,HR,train_file,120,56057,573,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0123,"Ono što je imperativ i to mora biti imperativ, ne samo vas ministre, nego i Ministarstva financija i ostalih, da bude kontrola veća.",HR,train_file,123,78834,2026,train,ucenje,P_Neutral,M_Positive,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0124,"Gospodine ministre, kad bi to bilo točno da Hrvatska liječnička komora zastupa snažne interese primarne zdravstvene zaštite liječnika, onda ne bi primarna zdravstvena zaštita bila tu gdje jest.",HR,train_file,124,98788,780,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0129,"Dakle, mora se postići odgovornost, ali da bi postigli odgovornost, mora se postići socijalna stabilnost i socijalna sigurnost građana.",HR,train_file,129,90402,769,train,ucenje,Positive,M_Positive,M_Positive,Positive,dva_kodera_i_uskladjenje
train-0131,"A ne, pardon, ono nije bila stanka, točno, da, da, izvolite.",HR,train_file,131,161713,2088,train,provjera,M_Positive,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0132,"U 2004. godini odbačajem kaznene prijave riješeno je 34% prijava, neposrednim optuženjem 58% i podnošenjem istražnog zahtjeva 8%.",HR,train_file,132,50938,2559,train,ucenje,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0133,Isključivo u taksativno navedenim situacijama predviđenima u članku 17. i 101.,HR,train_file,133,6417,672,train,ucenje,P_Neutral,N_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0134,"Mi moramo utvrditi pravedni balans, utoliko su ovi ugovori i lihvarski jer oni na neki način utvrđuju obvezu bez kraja i konca bez ikakvoga mjerenja.",HR,train_file,134,127242,2163,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0135,U tijeku je izrada dugoročnog plana razvoja oružanih snaga kojim utvrđujemo vojne sposobnosti koje ćemo dugoročno razvijati i održavati.,HR,train_file,135,54879,1628,train,ucenje,Positive,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0137,"Mišljenja smo da je ovakvo usporeno neprofesionalno upravljanje ove Vlade opetovano šteti ovoj državi, njenim građanima ali i ugledu koji imamo u međunarodnim krugovima.",HR,train_file,137,32977,2587,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0139,"A druga stvar je koju ste problematizirali, a to jeste hrvatska rak rana to su odnosi sa susjedima odnosno granice sa susjedima.",HR,train_file,139,42221,554,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0140,"Republika Hrvatska i Republika Makedonija imaju u nizu područja već potpisane bilateralne sporazume kao na primjer o slobodnoj trgovini, o suradnji u području kulture, znanosti, turizma, prometa i tako dalje.",HR,train_file,140,16118,285,train,ucenje,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0143,"I još jedna mala polemika, kažete da ste s manje novca izliječiti više pacijenata.",HR,train_file,143,24563,1458,train,ucenje,M_Negative,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0145,"E sad hoćemo i dalje radit na tome da se oni bogate, a da to ide na teret naših stanovnika i na teret naših građana, na teret naših proizvođača.",HR,train_file,145,193704,116,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0146,Nemamo previše novca a imamo previše potreba u ovoj zemlji.,HR,train_file,146,37441,2173,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0148,Sljedeći Kluba zastupnika onaj GLAS-a u ime kojeg će govoriti poštovani zastupnik Goran Beus Richembergh.,HR,train_file,148,149893,1814,train,ucenje,Positive,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0149,Prije je kolegica glavak nabrojala one novinare koji su u posljednje vrijeme dobili otkaz.,HR,train_file,149,106738,638,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0150,Pred nama je u drugom čitanju Zakon o Državnom inspektoratu.,HR,train_file,150,117598,2407,train,provjera,P_Neutral,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0152,"Sada su počeli ljudi gubiti radna mjesta masovno, u svim industrijama, kako će oni vraćati te kredite, kako će otplaćivati rate kredita kada izgube radno mjesto.",HR,train_file,152,26288,425,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0154,"Uvaženi ministre, da u pravu ste, to je ta dilema treba li to iz mirovinskog sustava ili iz općih poreza?",HR,train_file,154,204990,861,train,provjera,P_Neutral,N_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0157,Znači li to da je konačno i danas vladajuća koalicija shvatila što je međunarodna i što su međunarodni kriteriji i što su međunarodno priznate vrijednosti kada govorimo o nezaposlenosti?,HR,train_file,157,4709,1388,train,ucenje,M_Negative,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0158,"I sada ako govorimo o terorizmu, postoji raznih vrsta terorizama, mislim da je terorizam koji dolazi iz te strane za Hrvatsku najopasniji.",HR,train_file,158,143881,810,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0159,"Dakle neke će regije biti dobitnici, neke regije će biti gubitnici, a nekima će ostati isto kao što je bilo i do sada.",HR,train_file,159,12489,2150,train,ucenje,P_Neutral,M_Negative,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0160,"Uvijek ovo jedno čitanje, brza procedura zbog usklađivanja sa zakonodavstvom Europske unije.",HR,train_file,160,47178,1488,train,ucenje,P_Neutral,Negative,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0161,"Danas već imamo veliki manjak liječnika, veliki manjak medicinskih sestara, naravno i svih ostalih profesija u zdravstvu da sada ne nabrajam.",HR,train_file,161,15912,407,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0164,"Ovdje se pokušava nešto učiniti, istina kratkoročno a i sam premijer je rekao i predsjednik, pardon, ministar ovdje, da se ćemo efekte toga vidjeti.",HR,train_file,164,190235,846,train,provjera,M_Positive,M_Positive,M_Positive,Positive,dva_kodera_i_uskladjenje
train-0165,"I peto, svakom je jasno kako je kod šumskih požara najvažnija hitna reakacija na samom očetku požara.",HR,train_file,165,14383,284,train,ucenje,P_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0166,Isto tako se zaboravilo na očuvanje ugroženih izvornih zaštićenih pasmina domaćih životinja i ugroženih izvornih zaštićenih vrsta i kultivara poljoprivrednog bilja.,HR,train_file,166,74694,602,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0167,"Međutim, iako su ovi financijski pokazatelji dobri, Hrvatska banka za obnovu i razvitak mora raditi puno efikasnije, puno kvalitetnije, jer hrvatsko gospodarstvo ima potrebe za njihovim radom.",HR,train_file,167,3510,1960,train,provjera,M_Negative,M_Positive,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0168,"Imamo još oko 900 km2 minsko sumnjive površine ili površine koje se nalaze pod minama, to je užasno velika površina.",HR,train_file,168,3299,1367,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0169,"Tu se država iskazuje je li učinkovita, je li sposobna zaštititi građane a da oni to ne traže.",HR,train_file,169,29886,307,train,ucenje,N_Neutral,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0170,"To kaže Ustav Republike Hrvatske, to kaže Europska konvencija o ljudskim pravima i temeljnim slobodama, Konvencija o pristupu informacijama i brojni međunarodni ugovori.",HR,train_file,170,64805,2387,train,ucenje,P_Neutral,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0171,Onda bi mi imali situaciju da je 20% domicilnog stanovništva u pograničnoj kopnenoj granici zapravo su ilegalni migranti.,HR,train_file,171,145848,1621,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0172,"Dakle javnost se sa pravom pita kako je moguće da je jedna prof. iz dubrovačke gimnazije, kako se špekulira raspolaže imovinom većom od 5 milijuna eura.",HR,train_file,172,156800,1661,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0177,Ovo je prebacivanje iz jednih stupaca u drugi kako bi se pokrpao sustav.,HR,train_file,177,173082,2493,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0182,Stoga je svijest i potreba za zajedničkim povezivanjem s ciljem jačanja izgradnje obrambenih sposobnosti u Europi postala nužnost.,HR,train_file,182,54480,572,train,ucenje,Positive,P_Neutral,M_Positive,Positive,dva_kodera_i_uskladjenje
train-0183,"Postoje izuzeci kao što sam rekao kod najtežih kaznenih djela kad se neki instituti mogu primjenjivat s odgodom, opće se mogu primjenjivati itd.",HR,train_file,183,53504,1842,train,ucenje,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0184,Utvrđujem da navedeni amandman nije dobio dovoljan broj glasova da se uvrsti u konačni prijedlog zakona.,HR,train_file,184,22002,692,train,provjera,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0186,Prošlu godinu je pokrenuta inicijativa za mijenjanje ovog zakona jer nema efekata davanja poticaja.,HR,train_file,186,56172,576,train,ucenje,N_Neutral,P_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0189,Netočno je gospodin Kovačević ustvrdio da gospođa je morala biti na bojištu da bi stekla status hrvatskoga branitelja.,HR,train_file,189,50040,1775,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0196,"Takvi domovi pružaju kvalitetnu socijalnu skrb, uslugu stanovanja, dnevnog boravka, prehrane te njegu i brigu o zdravlju.",HR,train_file,196,89768,385,train,ucenje,Positive,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0197,To je još uvijek nešto nepoznato što razara duh i tijelo.,HR,train_file,197,73214,2083,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0198,Srušeno je izvješće HAKOM-a i definitivno jedini izlaz iz ove situacije je i ostavka koju mi zahtijevamo i tražimo.,HR,train_file,198,53159,731,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0199,"Želim reći isto tako budući da sam se vratio sinoć kasno iz mostara, znam da je sabor izrazio svoju sućut jučer na početku.",HR,train_file,199,3668,267,train,ucenje,P_Neutral,N_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0200,Vodeći računa o tome da se stupanjem u punopravno članstvo Zakon o državnim potporama i svi drugi domaći zakonski propisi temeljem Zakona o državnim potporama stavljaju izvan snage.,HR,train_file,200,46896,325,train,ucenje,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0201,"Vi ste se jako dobro izrazili u svojim iskazivanjima realnog stanja o izvješću, možda ste bili čak i malo preblagi u odnosu na stvarno stanje u društvu.",HR,train_file,201,8979,2586,train,ucenje,M_Positive,M_Positive,M_Positive,Positive,dva_kodera_i_uskladjenje
train-0205,Znači u ovom slučaju je strah od javnog iskazivanja nezadovoljstva građana pred sjedištem Vlade puno jači od popuštanja pred negativnim stavom javnosti kao u prethodnim slučajevima.,HR,train_file,205,52216,1997,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0207,"Nedovoljna diferencijacija statusa krugova poslova lokalnih samoupravnih jedinica koje su objektivno različite po veličini, stupnju razvijenosti i drugim objektivnim pokazateljima.",HR,train_file,207,29980,2060,train,ucenje,Negative,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0208,Što kazati o korupciji postoji više definicija što je korupcija najkraće rečeno korupcija je rak rana hrvatskog društva.,HR,train_file,208,30972,2595,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0209,"Treće, na ovim modelu bruto trošaka rada, bruto cijena rada ostaje ista kao i dosad.",HR,train_file,209,8411,1427,train,ucenje,P_Neutral,P_Neutral,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0212,"Privatizacija s druge strane znači prijenos javne usluge ili firme u privatne ruke, kako bi bila vođena u skladu s privatnim interesom a ne u skladu s javnim interesom"".",HR,train_file,212,39350,2303,train,ucenje,P_Neutral,Negative,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0213,"Mačevi su naši, a oni su tamo u dvoboju.",HR,train_file,213,109458,2509,train,ucenje,Negative,M_Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0217,"Nije dobro jer mi želimo biti nekakva ravnopravna članica EU, štoviše ako slušamo neke najave najistaknutijih političara mi ćemo čak biti uzor u tim europskim državama a dopuštamo dakle da se državu pljačka.",HR,train_file,217,64689,742,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0223,Potpuno je netočno da ministar Vukelić nije bio upoznat sa štetnim djelovanjem uprave protiv koje sada Državno odvjetništvo pokreće istragu i traži pritvor.,HR,train_file,223,84743,2315,train,provjera,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0224,Da li smo možda neki od nas mi sudjelovali u tome pa nas je strah da ne bi bili razotkriveni.,HR,train_file,224,60008,1771,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0225,"One su potvrđene, nego je samo bilo pitanje o namjeri je li dotična novinarka imala namjeru oklevetati tužitelja u tom slučaju sam bio ja.",HR,train_file,225,30764,1567,train,ucenje,M_Negative,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
